document path,document ID,activity,app name,id,interaction active notifications,interaction time,location,notification content,notification title,posted active notifications,posted time,reason number,created time,updated time
projects/activitycollector/databases/(default)/documents/notifications/0AeFvpQ5RDJtwgweAcOS,0AeFvpQ5RDJtwgweAcOS,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733080721636",28,"{""normalized"":0.596550925925926,""epoch_time"":1733080742460,""day"":7}","{""readable"":""HOME"",""long"":-73.1101331,""lat"":40.9065327}","Hello everyone,

Your voice matters! 🗣️

Please take a moment to fill out the GSO Member Feedback and Participation Survey: https://forms.gle/cfWgxAFNN1KLNZJL7.

This is your opportunity to share your thoughts, experiences, and suggestions. Your feedback is the only way for us to truly understand your concerns, represent them effectively, and prioritize the changes that matter most to you.

The insights you provide will help us enhance our events, services, and overall support for the graduate community at SBU. Together, we can make a difference!

Thank you in advance for your valuable input. 🙌

Survey Link: https://forms.gle/cfWgxAFNN1KLNZJL7

Best regards,
GSO",Stony Brook SUNY (2 messages): ~ NA,32,"{""normalized"":0.5963078703703704,""epoch_time"":1733080721636,""day"":7}",12,12/01/2024 14:18,12/01/2024 14:19
projects/activitycollector/databases/(default)/documents/notifications/0BlKuyIN11xOtNktvWg7,0BlKuyIN11xOtNktvWg7,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|rG/eeeHA9Hn1HLbSmtjPi3+89k+wc59UT36v/tkRMAc=
|103301733001412282",16,"{""normalized"":0.6803356481481482,""epoch_time"":1733001581357,""day"":6}","{""readable"":""HOME"",""long"":-73.1100635,""lat"":40.9066154}",like really good hahaha,Lavanya,20,"{""normalized"":0.6783796296296296,""epoch_time"":1733001412282,""day"":6}",12,11/30/2024 16:16,11/30/2024 16:19
projects/activitycollector/databases/(default)/documents/notifications/0BwnWigL1CjPiulHT1cp,0BwnWigL1CjPiulHT1cp,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733034876640",20,"{""normalized"":0.11380787037037036,""epoch_time"":1733039033731,""day"":7}","{""readable"":""HOME"",""long"":-73.1101655,""lat"":40.906564}",,Stony Brook SUNY: ~ NA,26,"{""normalized"":0.06569444444444444,""epoch_time"":1733034876640,""day"":7}",12,12/01/2024 01:34,12/01/2024 02:43
projects/activitycollector/databases/(default)/documents/notifications/0CmJVDDaxuR4nU6ZYMmi,0CmJVDDaxuR4nU6ZYMmi,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301732946244850",13,"{""normalized"":0.0403125,""epoch_time"":1732946283960,""day"":6}","{""readable"":""LIBRARY"",""long"":-73.1164114,""lat"":40.9092128}","Strands #272
“Yas Queen!”
🔵🔵🔵🔵
🟡🔵🔵🔵",SBU Summer (5 messages): Gaurav SBU,19,"{""normalized"":0.03986111111111111,""epoch_time"":1732946244850,""day"":6}",12,11/30/2024 00:57,11/30/2024 00:58
projects/activitycollector/databases/(default)/documents/notifications/0GUm3BrYkUJNzvmqBMco,0GUm3BrYkUJNzvmqBMco,,com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733025240564",,,,,Stony Brook SUNY: ~ NA,23,"{""normalized"":0.9541666666666667,""epoch_time"":1733025240564,""day"":6}",,11/30/2024 22:54,11/30/2024 22:54
projects/activitycollector/databases/(default)/documents/notifications/0Ha8oKdnPptvkmS9Z2Jk,0Ha8oKdnPptvkmS9Z2Jk,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Lv0fKbA8pdbvlISllWPHcwA1qYt4B6X4muMJhx//fh4=
|103301733006047027",18,"{""normalized"":0.7320601851851852,""epoch_time"":1733006050390,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.08904,""lat"":40.9139469}",,Stony Brook SUNY: ~ NA,23,"{""normalized"":0.732025462962963,""epoch_time"":1733006047027,""day"":6}",12,11/30/2024 17:34,11/30/2024 17:34
projects/activitycollector/databases/(default)/documents/notifications/0Hg9dEmf8MY605cSGA6I,0Hg9dEmf8MY605cSGA6I,,com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301733032256454",,,,I love you,Kaksha,26,"{""normalized"":0.03537037037037037,""epoch_time"":1733032256454,""day"":7}",,12/01/2024 00:50,12/01/2024 00:50
projects/activitycollector/databases/(default)/documents/notifications/0JQOJx1N9lCMIKFLKT6g,0JQOJx1N9lCMIKFLKT6g,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301732799360831",9,"{""normalized"":0.5237847222222223,""epoch_time"":1732815255848,""day"":4}","{""readable"":""HOME"",""long"":-73.1101663,""lat"":40.906528}","Wordle 1,258 4/6

🟨🟨⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩",SBU Summer: ~ Chahat Kalsi,9,"{""normalized"":0.3398148148148148,""epoch_time"":1732799360831,""day"":4}",12,11/28/2024 08:09,11/28/2024 12:34
projects/activitycollector/databases/(default)/documents/notifications/0PQ5V8nabak5r97cFJEL,0PQ5V8nabak5r97cFJEL,,com.google.android.gm,0|com.google.android.gm|-345575847|gig:743423040:^sq_ig_i_personal|102761732827554498,,,,,DoorDash Order,12,"{""normalized"":0.6661342592592593,""epoch_time"":1732827554498,""day"":4}",,11/28/2024 15:59,11/28/2024 15:59
projects/activitycollector/databases/(default)/documents/notifications/0SQ2SiI8rkwvJHbvhzgR,0SQ2SiI8rkwvJHbvhzgR,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|ioeHuX3mTFHAs+PLgZkdOIg8gL2zy9ddTOcEbze4nQk=
|103301732923410060",4,"{""normalized"":0.775775462962963,""epoch_time"":1732923427415,""day"":5}","{""readable"":""HOME"",""long"":-73.1101037,""lat"":40.9065248}",Check and tell me fast,Fake G1103 (2 messages): Maharshi Uprit SBU,7,"{""normalized"":0.7755787037037037,""epoch_time"":1732923410060,""day"":5}",12,11/29/2024 18:36,11/29/2024 18:37
projects/activitycollector/databases/(default)/documents/notifications/0SRB46yDSbD0xLl0X3PN,0SRB46yDSbD0xLl0X3PN,,com.whatsapp,"0|com.whatsapp|1|9JTBV3u0+yGNIxS2EUTrlNoyXR7eUpc6fv60X43DkLU=
|103301733007803139",,,,Hmm,Mihir SBU,21,"{""normalized"":0.752349537037037,""epoch_time"":1733007803139,""day"":6}",,11/30/2024 18:03,11/30/2024 18:03
projects/activitycollector/databases/(default)/documents/notifications/0TbqLwdKeyOwg0tLB1x5,0TbqLwdKeyOwg0tLB1x5,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301732903176918",11,"{""normalized"":0.5483796296296296,""epoch_time"":1732903780675,""day"":5}","{""readable"":""HOME"",""long"":-73.1101295,""lat"":40.9065646}",Anyone has honey?,Chapin Bazaar 2 (4 messages): Abhishek SBU,15,"{""normalized"":0.5413888888888889,""epoch_time"":1732903176918,""day"":5}",12,11/29/2024 12:59,11/29/2024 13:09
projects/activitycollector/databases/(default)/documents/notifications/0Tga4OQUyy94cbmpDfkn,0Tga4OQUyy94cbmpDfkn,,com.google.android.gm,0|com.google.android.gm|1625953256|gig:743423040:^sq_ig_i_personal|102761732827985498,,,,,Steam Support,19,"{""normalized"":0.6711226851851851,""epoch_time"":1732827985498,""day"":4}",,11/28/2024 16:06,11/28/2024 16:06
projects/activitycollector/databases/(default)/documents/notifications/0UioP6yPCaBGtwH303UK,0UioP6yPCaBGtwH303UK,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|KGdHQNgfIZil8OrU9uDZWqaDPWJA/JuHxNdzcj/Bb44=
|103301732841339447",18,"{""normalized"":0.8269328703703703,""epoch_time"":1732841447868,""day"":4}","{""readable"":""HOME"",""long"":-73.1101203,""lat"":40.9065621}",Thank you dear😘,Kaksha Mom,22,"{""normalized"":0.8256828703703704,""epoch_time"":1732841339447,""day"":4}",12,11/28/2024 19:48,11/28/2024 19:50
projects/activitycollector/databases/(default)/documents/notifications/0aXx8U2LyOna4iWsZ1Sb,0aXx8U2LyOna4iWsZ1Sb,,com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301733029273153",,,,Sick,Kaksha,26,"{""normalized"":0.0008449074074074074,""epoch_time"":1733029273153,""day"":7}",,12/01/2024 00:01,12/01/2024 00:01
projects/activitycollector/databases/(default)/documents/notifications/0cBqpj9dMnQMMSsFn8Ng,0cBqpj9dMnQMMSsFn8Ng,,com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301732899486110",,,,Anyone selling cycle or bike?,Chapin Bazaar 2 (3 messages): ~ Prajwal,11,"{""normalized"":0.49868055555555557,""epoch_time"":1732899486110,""day"":5}",,11/29/2024 11:58,11/29/2024 11:58
